Basin Name,Endcell
Mississippi,9443
Nile,35804
Chang Jiang,59064
Ganges,50464
Indus,44955
Murray,63145
Huang He,58181
Colorado,4089
Danube,35257
Mekong,54662
Parana,18169
Syr-Darya,43774
Amu-Darya,43578
Orange,29805
